id,checkpoint,description,lecturer,videourl,objective,Question,Answer,position,mediafire,tags,lesson,topic,seab,subject
272,A Quick Analogy,Let's start with interest rates. Interest rates can be thought of as one's compensation for parting with one's money.,openlectures,http://youtu.be/RzU5MO9G8A0,Define interest rate as compensation for parting with money,What is one definition of interest rate?,"If I lend you money in 2011, you will return me that sum in 2015 plus an additional amount of money as compensation because I will need to be compensated for not having the money for 5 years. What is that extra sum called?",1,http://www.mediafire.com/?d4zhl1qzynmhe7b,,Interest Rates,Monetary Policy,How The Macroeconomy Works,Economics
273,A More Interesting Definition Of Interest Rate,"Great! You know that interest is a lender's compensation. Now let's look at this scenario from the borrower's perspective. Then, interest, to the borrower, is the price of borrowing money.",openlectures,http://youtu.be/UAm422TL6kU,Define interest rate as the price of borrowing money.,What is another way to look at interest rates?,"If you borrow money from me and have to incur $500 dollars of interest, can that $500 be considered a price? If so, what item is the price for?",2,http://www.mediafire.com/?69po6366znbve4t,,Interest Rates,Monetary Policy,How The Macroeconomy Works,Economics
274,I Want Money,Now let's talk about the demand and supply of money. We will begin with the demand of money first.,openlectures,http://youtu.be/UiKuHxF1Gh8,Define the demand for money,What are the two factors that influence the demand of money?,Transaction and asset motives!,3,http://www.mediafire.com/?r5tb6d3h5ulxd60,,Interest Rates,Monetary Policy,How The Macroeconomy Works,Economics
275,Take My Money,"Now that we have talked about demand, let's explore the supply of money in an economy!",openlectures,http://youtu.be/x5VKHs4kyWQ,Define the supply for money,Who decides the supply of money in an economy?,The central bank.,4,http://www.mediafire.com/?373ugidx1f635ql,,Interest Rates,Monetary Policy,How The Macroeconomy Works,Economics
276,Short Term Interest Rate,We have demand and we have supply. Now let's put those two together to get the short term interest rate.,openlectures,http://youtu.be/RFZRUdW3FAo,Define short term interest rate,How is the short term interest rate determined?,By the intesection of the money demand and the money supply.,5,http://www.mediafire.com/?ymi53ic7ttnkmjv,,Interest Rates,Monetary Policy,How The Macroeconomy Works,Economics
277,Long Term Interest Rate,"Now that we know what short term interest rate is, let's explore a more fundamental concept - long term interest rate. Instead of being determined by the demand and supply of money, it is determined by economic fundamentals,",openlectures,http://youtu.be/Lma_ZtJuSuM,Define long term interest rate,How is the long term interest rate determined?,By economic fundamentals.,6,http://www.mediafire.com/?zeaa56ss5gogcp4,,Interest Rates,Monetary Policy,How The Macroeconomy Works,Economics
278,Difference Between Long Term And Short Term Interest Rate,Now let's try and differentiate the two concepts lest we confuse them. Short run interest rate always tends towards the long run interest rate in longer periods.,openlectures,http://youtu.be/4SxFZx0SBxc,Differentiate long term and short term interest rate,What does the short run interest rate tend to in the long run?,The long run interest rate.,7,http://www.mediafire.com/?6x3l3d6969w81ww,,Interest Rates,Monetary Policy,How The Macroeconomy Works,Economics
279,Classical Interpretation Of Money,"Now different economists interpret the increase or decrease in money supply differently. All these hinges on their interpretation of price flexibility. Let's listen to the old school first, or what we call classical economists. ",openlectures,http://youtu.be/Cm6oHOAbvJ8,Understand how Classical economists interprete money given complete flexibility in prices,What happens when prices are flexible and money supply is increased?,"When money supply increases, interest rates drop first. However, the increase in money supply cuases prices to increase since prices are flexible. The inflation causes increase in demand for money because prices are simply higher. This increase in demand offsets the initial drop in interest rates, bringing interest rates back to their original level.",1,http://www.mediafire.com/?96n3fl6ti2vb7nw,,Money Neutrality,Monetary Policy,How The Macroeconomy Works,Economics
280,Keynesian Interpretation Of Money,Economists then caught up with reality (surprise surprise). Keynesian economists realised that prices are actually sticky in the short run. This postulation has great impacts on interest rates and money supply.,openlectures,http://youtu.be/bSiPutvZ4kc,Understand how Keynesians interepete money given sticky prices.,What happens when prices are sticky and money supply is increased?,"When money supply increases, interest rates drop first. Increase in money supply does not cause prices to increase because prices are sticky in the short run. This causes a drop in short term interest rates. However, in the long run, prices are flexible again. Hence, inflation happens and demand for money increases. This offsets the original drop in interest rate, causing short term interest rates to approximate long run interest rates.",2,http://www.mediafire.com/?yy0gv6d77wb1gyv,,Money Neutrality,Monetary Policy,How The Macroeconomy Works,Economics
281,Which Interpretation?,So we have two interpretations here. Which interpretation do we adopt? Turns out the Keynesian one is a more accurate depiction of reality and that is the one we choose to stick with.,openlectures,http://youtu.be/ykuXA99Z3U4,Understand that sticky prices in the Short Run is a better reflection of the real world,Is there price stickiness in the short run? What about in the long run. Which interpretation is this?,"Price stickiness happens in the short run. However, in the long run, prices are no longer sticky. This is the Keynesian interpretation.",3,http://www.mediafire.com/?hpfu9iaahshyala,,Money Neutrality,Monetary Policy,How The Macroeconomy Works,Economics
282,Definition Of Monetary Policy,Now let's go into monetary policy proper. Monetary policy is defined as the deliberate manipulation of interest rates to achieve macroeconomic goals. The government achieves that through manipulating the money supply.,openlectures,http://youtu.be/vgXPnORQVi0,Define monetary policy,Can you arbitrarily choose both the interest rate and the money supply?,"No. When you choose one, the other is decided by the money demand.",1,http://www.mediafire.com/?3r27x22kcj77h4y,,Monetary Policy,Monetary Policy,How The Macroeconomy Works,Economics
283,Effects On Cookies And Cars,"To understand the effects of monetary policy on economic growth, let's break down economic growth into its substituent components. First, we look at consumption.",openlectures,http://youtu.be/PXaXq4oBR9w,Understand the impact of monetary policy on domestic consumption,What type of goods are most influenced by interest rate changes?,"Durables! Because they usually take up a large proportion of your income. Then, interest rate fluctuations have significant impacts.",2,http://www.mediafire.com/?z6zrxez6wlo3sj7,,Monetary Policy,Monetary Policy,How The Macroeconomy Works,Economics
284,Effects On Big Factories,"Now that we have dealt with consumption, we look at investment next. Loosely, investment is related to interest rate due to the profitability of projects. More formally, we define this using the Marginal Efficiency of Investment or the MEI.",openlectures,http://youtu.be/n9DQSgPQT8w,Understand the impact of monetary policy on investment,"If interest rate goes up, what happens to investment?","When interest rate goes up, the number of profitable projects that can achieve a rate of return more than or equal to the interest rate decreases. This can be shown in the MEI. when that happens, the amount of investment decreases.",3,http://www.mediafire.com/?zo5bbch0ewlyb8o,,Monetary Policy,Monetary Policy,How The Macroeconomy Works,Economics
285,Effects On Government Spending,We have covered consumption and investment. Government spending naturally comes next. Interest rates are related to government spending through the cost of borrowing.,openlectures,http://youtu.be/TQA0r3JC_8I,Understand the impact of monetary policy on government spending,What happens to the cost of borrowing and hence government spending when interest rate goes down?,"When interest rate goes down, the cost of borrowing decreases. Governments will find it cheaper to finance a deficit. That increases the incentive of deficit spending, hence governments may spend more.",4,http://www.mediafire.com/?6menib2wyj0wmqi,,Monetary Policy,Monetary Policy,How The Macroeconomy Works,Economics
